Version	2.0
User_Name	Justin
Reader_Name	T7
Reader_Type	GENios
Serial_Num	12901500174
Plate_Size	96
Exp_Name	180709_Mia_Adam_YPD_Sap30
Comments	

Measurement mode	Absorbance
Measurement wavelength	595	nm
Number of flashes	1
Plate definition file	96-well_NUN96ft.pdf
Number of kinetic cycles	1
Kinetic interval (Minimal)		s
Shake duration (Orbital High)	800	s
Shake duration between cycles (Orbital High)	800	s
Exp_StartDate	2018-07-09
Exp_StartTime	18:40:37
Cycle_Header	Secs,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Cycle_1	850,30.1,0.096400,0.095000,0.093400,0.097400,0.095800,0.097100,0.095500,0.096900,0.095900,0.099400,0.099200,0.104400,0.096000,0.101900,0.100900,0.100400,0.101000,0.103100,0.100400,0.100800,0.102100,0.102400,0.104600,0.102500,0.101500,0.099800,0.097200,0.101300,0.097800,0.101300,0.099800,0.103700,0.099500,0.099300,0.100700,0.105900,0.100400,0.109900,0.104300,0.105100,0.100100,0.106300,0.109500,0.105000,0.107700,0.106900,0.107600,0.102900,0.098400,0.097400,0.097400,0.101200,0.098900,0.099500,0.101900,0.102000,0.100100,0.104100,0.098800,0.106200,0.096500,0.111100,0.101600,0.101200,0.101500,0.103300,0.105500,0.104900,0.106900,0.108600,0.105900,0.100800,0.100300,0.096700,0.095100,0.099900,0.098900,0.101500,0.099700,0.099600,0.099900,0.102000,0.100300,0.104300,0.098900,0.109900,0.102300,0.105000,0.102300,0.104700,0.105400,0.102300,0.105600,0.111600,0.106600,0.102100
Cycle_2	1700,29.8,0.099000,0.095700,0.094600,0.096600,0.096900,0.097200,0.095600,0.098000,0.094500,0.095800,0.097700,0.101600,0.097100,0.102500,0.100400,0.099500,0.100600,0.102500,0.101900,0.100100,0.103700,0.103200,0.104700,0.100800,0.101300,0.099100,0.097600,0.099500,0.099200,0.100200,0.100500,0.103100,0.098600,0.099000,0.100900,0.108700,0.099500,0.111900,0.103500,0.106700,0.100900,0.105500,0.108800,0.105100,0.107500,0.108000,0.105200,0.103100,0.098800,0.098900,0.097200,0.100700,0.097900,0.098900,0.100200,0.103000,0.098400,0.102600,0.098800,0.106700,0.098700,0.113700,0.101600,0.100200,0.100200,0.102800,0.108200,0.104200,0.105800,0.108200,0.107600,0.100800,0.101100,0.097000,0.095000,0.100200,0.097300,0.099700,0.101500,0.100500,0.099900,0.102800,0.099500,0.105600,0.098200,0.108000,0.101000,0.100200,0.102300,0.104300,0.104300,0.102300,0.104500,0.110400,0.105600,0.101700
Cycle_3	2551,30.4,0.097800,0.095300,0.094200,0.097800,0.096400,0.099800,0.096800,0.097300,0.096900,0.097100,0.097800,0.103400,0.097600,0.101900,0.100500,0.102500,0.099200,0.103000,0.101400,0.100800,0.104200,0.104300,0.104900,0.104200,0.100300,0.098400,0.099400,0.100400,0.099500,0.100500,0.099900,0.102600,0.099400,0.100500,0.100700,0.105500,0.099400,0.105100,0.102300,0.106600,0.102900,0.106300,0.107400,0.105000,0.106100,0.109000,0.104900,0.103200,0.100300,0.098300,0.098100,0.099200,0.098600,0.099200,0.102600,0.103100,0.098400,0.101200,0.098700,0.105200,0.096900,0.107300,0.102400,0.099900,0.103400,0.102200,0.107000,0.103800,0.107300,0.111300,0.106200,0.102400,0.100700,0.097400,0.095800,0.099400,0.098900,0.099100,0.100600,0.098900,0.099600,0.102300,0.099000,0.104200,0.098400,0.103000,0.101800,0.101600,0.102200,0.104500,0.106600,0.103000,0.101300,0.114200,0.103500,0.103000
Cycle_4	3401,30.4,0.097500,0.095700,0.094600,0.095800,0.096400,0.096500,0.095400,0.096300,0.093600,0.097000,0.099100,0.099700,0.095300,0.102800,0.099900,0.101000,0.099600,0.103800,0.103800,0.099700,0.103800,0.101200,0.104700,0.102500,0.102700,0.097900,0.098800,0.098900,0.098300,0.101800,0.100100,0.103400,0.098400,0.098700,0.100000,0.104200,0.100600,0.107200,0.105000,0.105700,0.101000,0.108100,0.109600,0.104700,0.104300,0.106900,0.106700,0.101000,0.097900,0.096200,0.097900,0.098900,0.099500,0.098600,0.099300,0.101800,0.097500,0.101000,0.097700,0.103900,0.099000,0.107200,0.101700,0.102800,0.100300,0.101100,0.105500,0.103000,0.102900,0.107600,0.107000,0.101400,0.100900,0.097500,0.094200,0.098100,0.098200,0.100500,0.098500,0.099400,0.098500,0.100300,0.098500,0.101300,0.096800,0.107100,0.099600,0.101200,0.101200,0.103200,0.102900,0.101800,0.104000,0.108800,0.103900,0.102800
